phone,screen_size,paresed_price,announced_year,length_mm,width_mm,depth_mm,weight_oz,screen ratio,touchscreen,total_pixels,card_slot,battery_size,bluetooth_m,fast_chaging_power,SAR_EU_head,storage,lens_count,removable_B_Removable,cores_hexa,cores_octa,cores_quad,cores_single,gpu_manufacturer_Broadcom,gpu_manufacturer_Mali,gpu_manufacturer_NO,gpu_manufacturer_PowerVR,gpu_manufacturer_ULP,gpu_manufacturer_Vivante,wlan_ac,wlan_ax,wlan_g,wlan_n,network_g_4g,network_g_5g,network_g_nan
Galaxy S8+,6.2,430,2017,159.5,73.4,8.1,6.1,0.84,1,4262400.0,1,3500.0,5,1,0.27,131072.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy C5 Pro,5.2,220,2017,145.7,71.4,7.0,5.11,0.7170000000000001,1,2073600.0,1,2600.0,4,0,0.5218382352941175,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy Xcover 4,5.0,240,2017,146.2,73.3,9.7,6.07,0.643,1,921600.0,1,2800.0,4,0,0.61,16384.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J1 mini prime,4.0,110,2016,121.6,63.1,10.8,4.44,0.594,1,384000.0,1,1500.0,4,0,0.58,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Galaxy J3 Emerge,5.0,235,2017,140.9,70.1,8.7,5.19,0.698,1,921600.0,1,2600.0,4,0,0.5218382352941175,16384.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Galaxy C7 Pro,5.7,300,2017,156.5,77.2,7.0,6.07,0.741,1,2073600.0,1,3300.0,4,1,0.5218382352941175,65536.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Galaxy A7 (2017),5.7,280,2017,156.8,77.6,7.9,6.56,0.736,1,2073600.0,1,3600.0,4,1,0.21,32768.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy A5 (2017),5.2,250,2017,146.1,71.4,7.9,5.54,0.715,1,2073600.0,1,3000.0,4,1,0.52,65536.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy A3 (2017),4.7,220,2017,135.4,66.2,7.9,4.87,0.679,1,921600.0,1,2350.0,4,0,0.35,16384.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Galaxy Grand Prime Plus,5.0,140,2016,144.8,72.1,8.9,5.64,0.66,1,518400.0,1,2600.0,4,0,0.53,8192.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
