,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,Build,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Single,Video,3.5mm jack,WLAN,Bluetooth,GPS,USB,Sensors,,SAR EU,Price,Features,NFC,Protection,Triple,Charging,SAR,5G,Quad,Dual,Performance,Display,Camera,Audio quality,GPRS,EDGE,Infrared port,removable_B
Galaxy S6 edge+ Duos,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - G9287,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 18(800), 19(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - G9287","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps/ LTE-A (3CA) Cat9 450/50 Mbps","2015, August","Available. Released 2015, August",154.4 x 75.8 x 6.9 mm (6.08 x 2.98 x 0.27 in),153 g (5.40 oz),"Front/back glass (Gorilla Glass 4), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~76.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~515 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow); TouchWiz UI",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64 GB, 4 GB RAM","5 MP, f/1.9, 22mm (wide)",1440p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",Non-removable Li-Ion 3000 mAh battery,0.29 W/kg (head) 0.66 W/kg (body),About 450 EUR,"Dual video call, Auto-HDR",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W Qi/PMA wireless charging (market dependent),1.22 W/kg (head) 1.44 W/kg (body),,,,,,,,,,,Non-removable
Galaxy S5 Neo,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100 - G903F,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - G903F","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, August","Available. Released 2015, August",142 x 72.5 x 8.1 mm (5.59 x 2.85 x 0.32 in),145 g (5.11 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)","Android 5.1.1 (Lollipop), upgradable to 7.0 (Nougat)",Exynos 7580 Octa,Octa-core 1.6 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","5 MP, f/1.9, 23mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS","microUSB 2.0, USB On-The-Go","Accelerometer, gyro, proximity, compass, heart rate",Removable Li-Ion 2800 mAh battery,0.46 W/kg (head) 0.58 W/kg (body),About 300 EUR,"LED flash, panorama, HDR",Yes,,,,1.03 W/kg (head) 1.27 W/kg (body),,,,,,,,,,,Removable
Galaxy S4 mini I9195I,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, June","Available. Released 2015, June",124.6 x 61.3 x 8.9 mm (4.91 x 2.41 x 0.35 in),107 g (3.77 oz),,Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","4.3 inches, 51.0 cm2 (~66.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~256 ppi density)",Android 4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 64 GB (dedicated slot)","8 GB, 1.5 GB RAM",1.9 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE, aptX","Yes, with A-GPS, GLONASS, BDS",microUSB 2.0,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 1900 mAh battery,0.68 W/kg (head) 0.50 W/kg (body),About 190 EUR,"LED flash, HDR, panorama",Yes,To be confirmed,,,0.98 W/kg (head) 1.23 W/kg (body),,,,,,,,,,Yes,Removable
Galaxy Folder,GSM / HSPA / LTE,GSM 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850)","HSPA, LTE","2015, July","Available. Released 2015, July",122 x 60.2 x 15.3 mm (4.80 x 2.37 x 0.60 in),155 g (5.47 oz),,Micro-SIM,"TFT capacitive touchscreen, 16M colors","3.8 inches, 41.1 cm2 (~56.0% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~246 ppi density)",Android 5.1 (Lollipop),,Quad-core 1.2 GHz,,"microSD, up to 256 GB (dedicated slot)","8 GB, 1.5 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 1800 mAh battery,,About 250 EUR,,,,,,,,,,,,,,,,,Removable
Galaxy Tab S2 9.7,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)","HSPA, LTE","2015, July","Available. Released 2015, September",237.3 x 169 x 5.6 mm (9.34 x 6.65 x 0.22 in),389g (Wi-Fi) / 392g (LTE) (13.72 oz),,Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~72.7% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow) - T810, T815Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat) - T813N, T819N","Exynos 5433 - T810, T815Qualcomm MSM8976 Snapdragon 652 (28 nm) - T813N, T819N","Octa-core (4x1.9 GHz & 4x1.3 GHz) - T810, T815Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - T813N, T819N","Mali-T760 MP6 - T810, T815Adreno 510 - T813N, T819N","microSD, up to 256 GB (dedicated slot)","32/64 GB, 3 GB RAM",2.1 MP,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB 2.0 (MHL TV-out),"Fingerprint (front-mounted), accelerometer, gyro, compass",Non-removable Li-Ion 5870 mAh battery,0.86 W/kg (body),About 270 EUR,,,,,,,,,,,,,,,,,Non-removable
Galaxy Tab S2 8.0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 20(800)","HSPA, LTE","2015, July","Available. Released 2015, September",198.6 x 134.8 x 5.6 mm (7.82 x 5.31 x 0.22 in),265 g (Wi-Fi) / 272 g (LTE) (9.35 oz),,Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm2 (~74.0% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~320 ppi density)","Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow) - T710, T715Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat) - T719N","Exynos 5433 - T710, T715Qualcomm MSM8976 Snapdragon 652 (28 nm) - T719N","Octa-core (4x1.9 GHz & 4x1.3 GHz) - T710, T715Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53) - T719N","Mali-T760 MP6 - T710, T715Adreno 510 - T719N","microSD, up to 256 GB (dedicated slot)","32/64 GB, 3 GB RAM",2.1 MP,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB 2.0 (MHL TV-out),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery,0.34 W/kg (head) 0.47 W/kg (body),About 290 EUR,,,,,,0.96 W/kg (head) 1.59 W/kg (body),,,,,,,,,,,Non-removable
Galaxy A8 Duos,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"HSDPA 850 / 900 / 1900 / 2100 - A800F, A800Y","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - A800F","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, August","Available. Released 2015, August",158 x 76.8 x 5.9 mm (6.22 x 3.02 x 0.23 in),151 g (5.33 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~73.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Qualcomm MSM8939 Snapdragon 615 (28 nm) - A800YExynos 5430 Octa (20 nm) - A800F,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.3 GHz Cortex-A53) - A800YOcta-core (4x1.8 GHz Cortex-A15 & 4x1.3 GHz Cortex-A7) - A800F,Adreno 405 - A800YMali-T628 MP6 - A800F,"microSD, up to 256 GB (uses shared SIM slot)","32 GB, 2 GB RAM","5 MP, f/1.9, 23mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3050 mAh battery,0.32 W/kg (head) 0.55 W/kg (body),About 280 EUR,"LED flash, panorama, HDR",,Corning Gorilla Glass 4,,,,,,,Basemark OS II 2.0: 1089 / Basemark X: 8838,"Contrast ratio: Infinite (nominal), 3.859 (sunlight)",,Noise -89.3dB / Crosstalk -53.8dB,,,,Non-removable
Galaxy A8,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, July","Available. Released 2015, August",158 x 76.8 x 5.9 mm (6.22 x 3.02 x 0.23 in),151 g (5.33 oz),"Front glass, aluminum frame, plastic back",Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.7 inches, 89.6 cm2 (~73.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~386 ppi density)","Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.3 GHz Cortex-A53),Adreno 405,"microSD, up to 256 GB (dedicated slot)","32 GB, 2 GB RAM","5 MP, f/1.9, 23mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3050 mAh battery,0.32 W/kg (head) 0.55 W/kg (body),About 250 EUR,"LED flash, panorama, HDR",Yes,Corning Gorilla Glass 4,,,,,,,Basemark OS II 2.0: 1089 / Basemark X: 8838,"Contrast ratio: Infinite (nominal), 3.859 (sunlight)",Photo / Video,Noise -89.3dB / Crosstalk -53.8dB,,,,Non-removable
Galaxy V Plus,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA,"2015, July","Available. Released 2015, July",121.4 x 62.9 x 10.7 mm (4.78 x 2.48 x 0.42 in),123 g (4.34 oz),Plastic body,"Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~59.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),,Dual-core 1.2 GHz,,"microSD, up to 64 GB (dedicated slot)","4 GB, 512 MB RAM",3.15 MP,480p@30fps,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,Accelerometer,Removable Li-Ion 1500 mAh battery,,About 70 EUR,LED flash,,,,,,,,,,,,,,,,Removable
Galaxy J7,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 21.1/5.76 MbpsHSPA, LTE Cat4 150/50 Mbps","2015, June","Available. Released 2015, June",152.2 x 78.7 x 7.5 mm (5.99 x 3.10 x 0.30 in),171 g (6.03 oz),Plastic body,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8939 Snapdragon 615 (28 nm)Exynos 7580 Octa,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)Octa-core 1.5 GHz Cortex-A53,Adreno 405Mali-T720MP2,"microSD, up to 256 GB (dedicated slot)","16 GB, 1.5 GB RAM","5 MP, f/2.2, 23mm (wide)",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 3000 mAh battery,0.50 W/kg (head) 0.37 W/kg (body),About 200 EUR,LED flash,Yes (Snapdragon model only),,,,1.25 W/kg (head) 1.36 W/kg (body),,,,Basemark OS II 2.0: 709 / Basemark X: 3922,"Contrast ratio: Infinite (nominal), 3.879 (sunlight)",Photo / Video,Noise -96.1dB / Crosstalk -73.2dB,,,,Removable
Galaxy J7 Nxt,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2017, July","Available. Released 2017, July",152.4 x 78.6 x 7.6 mm (6.00 x 3.09 x 0.30 in),170 g (6.00 oz),Plastic body,"Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~69.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); One UI",Exynos 7870 Octa (14 nm),Octa-core 1.6 GHz Cortex-A53,Mali-T830 MP1,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM","5 MP, f/2.2, 23mm (wide)",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 3000 mAh battery,0.52 W/kg (head) 1.39 W/kg (body),About 180 EUR,LED flash,,,,,0.61 W/kg (head),,,,,,,,,,,Removable
Galaxy J5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, June","Available. Released 2015, June",142.1 x 71.8 x 7.9 mm (5.59 x 2.83 x 0.31 in),146 g (5.15 oz),Plastic body,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.5% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 5.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1.5 GB RAM","5 MP, f/2.2, 23mm (wide)",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",Removable Li-Ion 2600 mAh battery,0.61 W/kg (head) 0.48 W/kg (body),About 160 EUR,LED flash,Yes (market dependent),,,,0.80 W/kg (head) 1.13 W/kg (body),,,,,,,,,,,Removable
Galaxy Tab 4 10.1 (2015),No cellular connectivity,,,,,"2015, Q3","Available. Released 2015, Q3",243.4 x 176.4 x 7.9 mm (9.58 x 6.94 x 0.31 in),487 g (1.07 lb),,No,"TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm2 (~68.9% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)","Android 4.4.4 (KitKat), upgradable to 5.1.1 (Lollipop)",Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"microSD, up to 64 GB (dedicated slot)","16 GB, 1.5 GB RAM",1.3 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with GLONASS",microUSB 2.0,Accelerometer,Non-removable Li-Po 6800 mAh battery,,About 280 EUR,,,,,,,,,,,,,,No,No,Yes,Non-removable
Galaxy Tab E 9.6,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA,"2015, June","Available. Released 2015, July",241.9 x 149.5 x 8.5 mm (9.52 x 5.89 x 0.33 in),490 g (Wi-Fi)/ 495 g (3G) (1.08 lb),Plastic body,Micro-SIM,"TFT capacitive touchscreen, 16M colors","9.6 inches, 267.2 cm2 (~73.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~157 ppi density)","Android 4.4 (KitKat) - EU modelAndroid 5.1 (Lollipop), upgradable to 7.0 (Nougat) - USA model",,Quad-core 1.3 GHzQuad-core 1.2 GHz - USA model,,"microSD, up to 256 GB (dedicated slot)","8/16 GB, 1.5 GB RAM","2 MP, f/2.4",,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspotWi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot - USA model","4.0, A2DP; 4.1, A2DP - USA model","Yes, with A-GPS, GLONASS, BDS",microUSB 2.0,Accelerometer,Non-removable Li-Ion 5000 mAh battery,0.50 W/kg (body),About 200 EUR,,,,,,,,,,,,,,,,,Non-removable
Guru Plus ,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,"2015, Q2","Available. Released 2015, Q2",108 x 45 x 13.2 mm (4.25 x 1.77 x 0.52 in),66 g (2.33 oz),,"Dual SIM, (Mini-SIM)","TFT, 65K colors","1.5 inches, 7.3 cm2 (~14.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,208 MHz,,No,4 MB RAM,,,Yes,No,No,No,microUSB (charging only),,Removable Li-Ion 800 mAh battery,0.58 W/kg (head) 0.26 W/kg (body),About 20 EUR,,,,,,,,,,,,,,No,No,,Removable
Metro 360,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,2015,Available. Released 2015,117.3 x 49.5 x 11.4 mm (4.62 x 1.95 x 0.45 in),83 g (2.93 oz),,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm2 (~30.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,312 MHz,,"microSD, up to 16 GB (dedicated slot)",64 MB RAM,3.15 MP,240p@15fps,Yes,No,"3.0, A2DP",No,microUSB 2.0,,Removable Li-Ion 1000 mAh battery,,About 50 EUR,,,,,,,,,,,,,,Yes,No,,Removable
Xcover 550,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA 7.2/5.76 Mbps,"2015, July","Available. Released 2015, July",129 x 56.2 x 14 mm (5.08 x 2.21 x 0.55 in),124 g (4.37 oz),,Mini-SIM,TFT,"2.4 inches, 17.8 cm2 (~24.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,Spreadtrum SC7703,Dual-core 460 MHz,,"microSD, up to 16 GB (dedicated slot)","256 MB, 128 MB RAM",3.15 MP,Yes,Yes,No,"3.0, A2DP",To be confirmed,microUSB 2.0,,Removable Li-Ion 1300 mAh or 1500 mAh battery,0.78 W/kg (head) 0.44 W/kg (body),About 110 EUR,LED flash,,,,,0.56 W/kg (head) 1.06 W/kg (body),,,,,,,,,,,Removable
Galaxy S6 active,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700), 20(800), 29(700), 40(2300)","HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","2015, June","Available. Released 2015, June",146.8 x 73.4 x 8.6 mm (5.78 x 2.89 x 0.34 in),170 g (6.00 oz),,Nano-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.7 cm2 (~66.5% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~576 ppi density)","Android 5.0.2 (Lollipop), upgradable to 6.0.1 (Marshmallow); TouchWiz UI",Exynos 7420 Octa (14 nm),Octa-core (4x2.1 GHz Cortex-A57 & 4x1.5 GHz Cortex-A53),Mali-T760MP8,No,"32/64 GB, 3 GB RAM","5 MP, f/1.9, 22mm (wide)",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE, aptX","Yes, with A-GPS, GLONASS",microUSB 2.0,"Accelerometer, gyro, proximity, compass, barometer, heart rate",Non-removable Li-Ion 3500 mAh battery,0.48 W/kg (head) 0.42 W/kg (body),About 350 EUR,"LED flash, auto-HDR, panorama",Yes,Corning Gorilla Glass 4,,Fast battery charging 15W Qi/PMA wireless charging (market dependent),1.19 W/kg (head) 1.58 W/kg (body),,,,,,,,,,Yes,Non-removable
Galaxy Tab 3 V,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 2100,,HSPA,"2015, March","Available. Released 2015, April",193.4 x 116.4 x 9.7 mm (7.61 x 4.58 x 0.38 in),322 g (11.36 oz),,Micro-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~61.3% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.4 (KitKat),,Quad-core 1.3 GHz,,"microSD, up to 32 GB (dedicated slot)","8 GB, 1 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Yes, with GLONASS",microUSB 2.0,Accelerometer,Non-removable Li-Ion 3600 mAh battery,0.66 W/kg (head) 0.66 W/kg (body),About 130 EUR,,,,,,0.45 W/kg (head) 1.58 W/kg (body),,,,,,,,,,,Non-removable
Galaxy Tab A 9.7 & S Pen,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 40(2300)","HSPA, LTE Cat4 150/50 Mbps","2015, July","Available. Released 2015, July",242.5 x 166.8 x 7.5 mm (9.55 x 6.57 x 0.30 in),490 g (1.08 lb),,Micro-SIM,"TFT capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~72.0% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)",Android 5.0 (Lollipop),,Quad-core 1.2 GHz,,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",microUSB 2.0,"Accelerometer, compass",Non-removable Li-Ion 6000 mAh battery,0.83 W/kg (body),About 340 EUR,,,,,,1.47 W/kg (body),,,,,,,,,,,Non-removable
Galaxy Tab A 9.7,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","HSPA, LTE Cat4 150/50 Mbps","2015, March","Available. Released 2015, May",242.5 x 166.8 x 7.5 mm (9.55 x 6.57 x 0.30 in),"450 g (Wi-Fi), 453 g (LTE) (0.99 lb)",,Micro-SIM,"TFT capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~72.0% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)","Android 5.0 (Lollipop), upgradable to 6.0.1 (Marshmallow)",,Quad-core 1.2 GHz,,"microSD, up to 256 GB (dedicated slot)","16 GB, 1.5 GB RAM (Wi-Fi)16/32 GB, 2 GB RAM (LTE)",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS",microUSB 2.0,Accelerometer,Non-removable Li-Ion 6000 mAh battery,0.96 W/kg (body),About 250 EUR,,,,,,,,,,,,,,,,,Non-removable
Galaxy Tab A 8.0 & S Pen (2015),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 40(2300)","HSPA, LTE","2015, March","Available. Released 2015, May",208.4 x 137.9 x 7.5 mm (8.20 x 5.43 x 0.30 in),338 g (11.92 oz),,Micro-SIM,"TFT capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm2 (~69.0% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Android 5.0 (Lollipop),,Quad-core 1.2 GHz,,"microSD, up to 256 GB (dedicated slot)","16 GB, 2 GB RAM",2 MP,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS, BDS",microUSB 2.0,Accelerometer,Non-removable Li-Ion 4200 mAh battery,,About 220 EUR,,,,,,,,,,,,,,,,,Non-removable
